Total Electricity Consumption (A),Total Fuel Consumption (B),Energy Consumption Through Other Sources (C),Total Energy Consumption (A+B+C),Total Renewable Energy Consumption,Total Non-Renewable Energy Consumption,Energy Intensity,File Name,ATTACHMENT_x,ATTACHMENT_y
1449.57,13.42,0.0,6922.84,,,6.84,360_ONE_WAM_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/IIFLWAM_19062024220934_360ONEWAMLIMITEDAR202324v2.pdf
7270.9,154.8,0.0,,,,4.202e-05,3I_Infotech_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/3IINFOTECHLTD_07092024211558_AR.pdf
45767.0,40856.0,0.0,,,,3.63,3M_INDIA_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/3MINDIALTD_23072024150950_LettertoSEBRSRSIGNED.pdf
6908674286.0,636762700.0,,,,,8593892.0,5paisa_Capital_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/5PAISA_16082024193503_EXINTIMATION.pdf
4488720.0,2600.0,65609.0,4556929.0,,,1.0,63_moons_technologies_limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/63MOONS_03092024215221_BRSR2024.pdf
293984.0,876436.0,,,,,46.34,Aarti_Drugs_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AARTIDRUGS_29082024232019_ADL.pdf
563183.0,6014507.0,,,,,8.325,Aarti_Industries_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AARTIIND_10072024192757_AARTIIND_BRSR.pdf
287347.98,864831.57,0.0,,,,46.25,Aarti_Pharmalabs_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AARTIPHARMA_15072024204239_AARTIPHARM.pdf
11874.65,74.37,,,,,1.39,Aavas_Financiers_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AAVAS_12072024183541_BRSR20232024.pdf
451.47,4.0,,,,,0.075,ABANS_HOLDINGS_LIMITED_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/AHL_09072024114633_BRSR.pdf
0.0,8587.4,0.0,,,,9.3,ABB_India_Limited_2023.0.pdf,,https://nsearchives.nseindia.com/corporate/ABB_05042024210522_ABBAnnualReport2023.pdf
